Stanum,Lat,Lon,Rain,Mean,Var
58255,3223,12037,-0.24,6.9,420.05
58259,3205,12059,0.27,7.93,223.04
58265,3206,12133,-1.02,5.19,109.88
58311,3144,11630,0.57,7.49,250.69
58314,3124,11619,-1.36,6.67,244.63
58319,3104,11657,-0.91,5.89,160.31
58321,3157,11703,3.77,11.27,438.99
58326,3135,11750,2.58,10.92,622.35
58336,3142,11834,1.26,8.52,490.61
58338,3107,11836,0.98,7.77,401.3
58345,3126,11930,0.6,7.86,387.93
58354,3137,12021,-0.44,5.8,274.6
58356,3124,12100,-0.73,3.63,83.75
58358,3105,12026,0.14,6.85,255.33
58362,3123,12127,-0.42,7.61,265.17
58402,3044,11540,-1.27,5.15,178.16
58429,3059,11751,0.51,7.52,212.12
58436,3037,11859,-0.49,6.78,97.65
58437,3008,11809,-0.28,12.35,278.61
58448,3013,11942,-1.44,4.94,117.77
58450,3052,12003,0.27,7.34,229.0
58457,3014,12010,-1.2,4.94,75.9
58464,3039,12107,-0.51,6.78,184.26
58467,3012,12118,2.01,11.96,311.7
58472,3044,12227,0.3,6.26,384.5
58477,3002,12206,0.87,10.66,455.3
58500,2954,11513,-1.05,4.24,65.71
58506,2934,11559,0.02,3.52,30.24
58507,2915,11507,-0.68,3.12,119.92
58519,2900,11640,-1.08,3.48,219.78
58520,2952,11742,-0.53,2.75,26.57
58527,2918,11712,0.03,7.23,600.12
58531,2943,11817,-1.06,3.5,77.56
58543,2937,11901,-0.91,3.33,65.55
58549,2907,11939,-0.47,4.75,158.81
58553,3003,12049,4.97,18.96,1582.0
58556,2936,12049,-0.75,5.78,106.14
58557,2920,12005,-0.42,2.39,15.36
58562,2948,12130,-0.25,7.69,126.02
58569,2912,12157,0.31,7.95,273.78
58600,2851,11522,0.18,1.91,39.99
58606,2835,11554,0.23,1.16,8.56
58608,2759,11533,-0.2,1.84,42.1
58622,2857,11735,-0.64,3.19,128.43
58626,2819,11714,-0.15,2.26,19.58
58634,2841,11815,-0.1,1.74,43.59
58637,2827,11759,-0.48,2.45,44.31
58646,2828,11956,-0.87,5.56,140.64
58652,2852,12043,-1.66,6.06,109.59
58665,2837,12125,-0.97,8.21,249.06
58666,2827,12154,0.11,7.03,145.15
58667,2805,12116,-1.09,5.75,77.35
58705,2720,11525,0.29,1.67,68.2
58715,2735,11639,0.27,1.46,16.13
58718,2713,11632,0.63,0.86,5.88
58725,2720,11728,-0.31,2.86,69.91
58730,2746,11802,-0.9,3.43,83.4
58731,2755,11832,-0.12,2.41,61.13
58734,2720,11807,-1.06,3.33,88.16
58737,2703,11819,-0.19,2.68,147.57
58742,2806,11934,-0.68,3.78,63.79
58744,2727,11930,-0.12,5.61,66.63
58752,2747,12039,-1.21,6.22,152.28
58754,2720,12012,-0.79,6.81,136.33
58806,2629,11601,0.85,0.93,4.98
58813,2650,11618,0.41,1.41,23.63
58818,2614,11638,0.02,2.63,53.09
58820,2654,11710,0.72,1.01,7.71
58837,2609,11809,0.33,3.0,61.7
58843,2653,12001,-0.26,3.07,46.95
58846,2640,11931,-0.99,8.73,501.73
58847,2605,11917,0.3,2.09,11.88
58911,2551,11622,-0.13,3.06,37.62
58918,2503,11625,-0.57,5.05,172.69
58926,2518,11725,-0.11,3.57,47.07
58927,2503,11701,0.06,3.5,22.22
58931,2543,11806,0.88,2.76,25.57
58944,2531,11947,-0.26,2.09,41.16
59007,2403,10503,0.11,3.49,50.15
59021,2433,10702,0.63,3.02,81.56
59023,2442,10802,-0.3,4.72,208.59
59037,2356,10806,0.53,3.36,46.23
